fecha;hora;estacion;pasajeros
2014-04-16;04:00;Acoyte;1
2014-04-16;04:00;Flores;4
2014-04-16;04:00;Plaza de Mayo;1
2014-04-16;04:00;San Pedrito;15
2014-04-16;04:00;Congreso;1
2014-04-16;04:00;Rio de Janeiro;2
2014-04-16;04:00;Puan;2
2014-04-16;04:00;Primera Junta;1
2014-04-16;04:00;Piedras;1
2014-04-16;04:00;Lima;1
2014-04-16;05:00;Congreso;22
2014-04-16;05:00;Peru;9
2014-04-16;05:00;Pasco;11
2014-04-16;05:00;Lima;12
2014-04-16;05:00;Plaza de Mayo;19
2014-04-16;05:00;San Pedrito;128
2014-04-16;05:00;Rio de Janeiro;17
2014-04-16;05:00;Puan;8
2014-04-16;05:00;Piedras;8
2014-04-16;05:00;Carabobo;37
2014-04-16;05:00;Saenz Peña;5
2014-04-16;05:00;Loria;23
2014-04-16;05:00;Plaza Miserere;141
2014-04-16;05:00;Acoyte;50
2014-04-16;05:00;Flores;20
2014-04-16;05:00;Castro Barros;24
2014-04-16;05:00;Primera Junta;56
2014-04-16;05:00;Alberti;5
2014-04-16;06:00;Peru;23
2014-04-16;06:00;Puan;121
2014-04-16;06:00;Acoyte;263
2014-04-16;06:00;Castro Barros;109
2014-04-16;06:00;Pasco;29
2014-04-16;06:00;Primera Junta;259
2014-04-16;06:00;Alberti;35
2014-04-16;06:00;Saenz Peña;37
2014-04-16;06:00;Lima;53
2014-04-16;06:00;Congreso;64
2014-04-16;06:00;Rio de Janeiro;148
2014-04-16;06:00;San Pedrito;803
2014-04-16;06:00;Carabobo;253
2014-04-16;06:00;Plaza de Mayo;100
2014-04-16;06:00;Loria;105
2014-04-16;06:00;Plaza Miserere;345
2014-04-16;06:00;Flores;191
2014-04-16;06:00;Piedras;26
2014-04-16;07:00;Puan;589
2014-04-16;07:00;Acoyte;983
2014-04-16;07:00;Piedras;54
2014-04-16;07:00;Plaza de Mayo;302
2014-04-16;07:00;Flores;828
2014-04-16;07:00;Congreso;218
2014-04-16;07:00;Saenz Peña;132
2014-04-16;07:00;Rio de Janeiro;689
2014-04-16;07:00;San Pedrito;3161
2014-04-16;07:00;Loria;326
2014-04-16;07:00;Lima;143
2014-04-16;07:00;Primera Junta;1070
2014-04-16;07:00;Alberti;103
2014-04-16;07:00;Peru;48
2014-04-16;07:00;Castro Barros;441
2014-04-16;07:00;Pasco;99
2014-04-16;07:00;Carabobo;1104
2014-04-16;07:00;Plaza Miserere;683
2014-04-16;08:00;Castro Barros;665
2014-04-16;08:00;Plaza Miserere;1195
2014-04-16;08:00;Congreso;389
2014-04-16;08:00;Saenz Peña;219
2014-04-16;08:00;Plaza de Mayo;439
2014-04-16;08:00;Rio de Janeiro;1152
2014-04-16;08:00;Carabobo;1805
2014-04-16;08:00;Alberti;119
2014-04-16;08:00;Puan;1014
2014-04-16;08:00;Peru;108
2014-04-16;08:00;Piedras;98
2014-04-16;08:00;Pasco;162
2014-04-16;08:00;Primera Junta;1856
2014-04-16;08:00;Lima;184
2014-04-16;08:00;Flores;1427
2014-04-16;08:00;Loria;479
2014-04-16;08:00;Acoyte;1612
2014-04-16;08:00;San Pedrito;4898
2014-04-16;09:00;Saenz Peña;389
2014-04-16;09:00;Flores;999
2014-04-16;09:00;Loria;462
2014-04-16;09:00;Rio de Janeiro;874
2014-04-16;09:00;Peru;200
2014-04-16;09:00;Plaza de Mayo;548
2014-04-16;09:00;Pasco;229
2014-04-16;09:00;Congreso;458
2014-04-16;09:00;Primera Junta;1413
2014-04-16;09:00;Puan;704
2014-04-16;09:00;Piedras;134
2014-04-16;09:00;San Pedrito;3164
2014-04-16;09:00;Lima;272
2014-04-16;09:00;Alberti;140
2014-04-16;09:00;Carabobo;1188
2014-04-16;09:00;Acoyte;1402
2014-04-16;09:00;Plaza Miserere;1484
2014-04-16;09:00;Castro Barros;662
2014-04-16;10:00;Peru;381
2014-04-16;10:00;Saenz Peña;521
2014-04-16;10:00;Rio de Janeiro;732
2014-04-16;10:00;Piedras;282
2014-04-16;10:00;Congreso;711
2014-04-16;10:00;Flores;626
2014-04-16;10:00;Puan;418
2014-04-16;10:00;Castro Barros;561
2014-04-16;10:00;Primera Junta;924
2014-04-16;10:00;Loria;465
2014-04-16;10:00;San Pedrito;1692
2014-04-16;10:00;Lima;372
2014-04-16;10:00;Carabobo;774
2014-04-16;10:00;Acoyte;1081
2014-04-16;10:00;Pasco;299
2014-04-16;10:00;Alberti;174
2014-04-16;10:00;Plaza de Mayo;685
